,University ID,Degree in Engineering,Degree in Math,Degree in Computer Science,Degree in Science and Tech,Region,Share of Female,Enrollment of UnderGrad,Mean Earning After 6 yrs of Grad (0-30k),Mean Earning After 6 yrs of Grad(30-75k),Mean Earning After 6 yrs of Grad(75k +),Mean Earning After 10 yrs of Grad (0-30k),Mean Earning After 10 yrs of Grad(30-75k),Mean Earning After 10 yrs of Grad(75k +)
242,111081,0.0,0.0,0.0,0.0,8,0.526490066,979.0,32600,32900,36700,46600,45400,61000
243,111188,Degree in Engineering,0.0,0.0,0.0,8,0.191542289,1048.0,75600,75800,77900,87300,88700,87600
246,111461,0.0,0.0,0.0,0.0,8,0.569762123,17828.0,32400,36500,36000,42700,49400,50600
255,111887,0.0,0.0,0.0,0.0,8,0.552930992,16744.0,27100,29300,35000,35400,38400,48100
259,111948,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.647474199,6740.0,46400,46200,47900,54400,56000,58900
261,112075,0.0,Degree in Math,0.0,0.0,8,0.672707889,1821.0,43700,41700,39100,54100,48200,50700
262,112084,0.0,0.0,0.0,0.0,8,0.543123543,657.0,23900,36900,31000,34500,44700,46200
266,112190,0.0,0.0,0.0,0.0,8,0.52631579,23574.0,30600,34500,42300,40400,46000,52300
273,112446,0.0,0.0,Degree in Computer Science,0.0,8,0.102222222,222.0,33600,44000,46400,44700,55000,62200
282,113193,0.0,0.0,0.0,0.0,8,0.586419753,7858.0,30700,36200,39100,39300,44600,57700
285,113333,0.0,0.0,0.0,0.0,8,0.517590361,18183.0,36100,38600,43500,48800,52300,63500
291,113698,0.0,0.0,0.0,0.0,8,0.729166667,1284.0,48700,55000,56900,63600,62900,64200
297,114123,0.0,0.0,0.0,0.0,8,0.83881579,333.0,25500,33600,36500,29100,37200,41700
299,114354,0.0,0.0,0.0,0.0,8,0.890282132,2367.0,34900,38600,38100,40700,42900,43500
300,114390,0.0,0.0,0.0,0.0,8,0.890282132,279.0,34900,38600,38100,40700,42900,43500
301,114415,0.0,0.0,0.0,0.0,8,0.890282132,71.0,34900,38600,38100,40700,42900,43500
303,114460,0.0,0.0,0.0,0.0,8,0.824120603,253.0,27400,26000,32800,31500,33900,31100
311,114789,0.0,0.0,0.0,0.0,8,0.557442235,19322.0,23200,29600,40300,31600,37100,41100
312,114813,0.0,Degree in Math,0.0,0.0,8,0.74513173,2791.0,30200,38900,46000,40600,45200,51300
314,114859,0.0,0.0,0.0,0.0,8,0.542943029,21969.0,28500,29400,31400,36900,40600,47300
