,University ID,Degree in Engineering,Degree in Math,Degree in Computer Science,Degree in Science and Tech,Region,Share of Female,Enrollment of UnderGrad,Mean Earning After 6 yrs of Grad (0-30k),Mean Earning After 6 yrs of Grad(30-75k),Mean Earning After 6 yrs of Grad(75k +),Mean Earning After 10 yrs of Grad (0-30k),Mean Earning After 10 yrs of Grad(30-75k),Mean Earning After 10 yrs of Grad(75k +)
2509,198598,0.0,Degree in Math,0.0,0.0,5,0.442088091,821.0,24200,32300,32300,34400,40600,45700
2510,198613,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.501199041,1502.0,28500,36200,34000,34200,42100,43800
2511,198622,0.0,0.0,0.0,0.0,5,0.576128331,9821.0,22700,29000,31500,27800,35000,46800
2515,198695,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.633381924,4407.0,35500,35400,39900,37300,42600,48300
2519,198756,Degree in Engineering,0.0,Degree in Computer Science,0.0,5,0.586096257,1392.0,25700,26900,25900,29200,32000,34700
2521,198808,0.0,0.0,0.0,0.0,5,0.66720517,920.0,31300,29900,36900,27700,34800,38900
2523,198835,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.602844639,1573.0,29200,32600,37200,39400,43600,46200
2525,198862,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.491370558,1143.0,20900,22200,20600,24800,27500,28200
2526,198871,0.0,0.0,0.0,0.0,5,0.333716916,620.0,21300,21600,28800,26700,28400,35700
2527,198899,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.563736264,1255.0,31500,30200,29600,30200,33800,37900
2531,198950,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.979567308,1638.0,32100,35000,35000,39000,44000,46100
2532,198969,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.456594324,1908.0,27600,32700,37200,40000,43300,47000
2533,198978,0.0,0.0,0.0,0.0,5,0.812195122,1678.0,19700,26100,28400,24100,28700,29700
2537,199032,0.0,0.0,Degree in Computer Science,0.0,5,0.494646681,695.0,29700,38200,41600,33400,38600,54600
2538,199069,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.703140334,3061.0,29300,38800,49500,35300,44700,53100
2541,199102,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.569954356,10011.0,28800,31600,36200,36300,37800,45900
2542,199111,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.612205976,3496.0,29400,29400,31200,35100,39000,42000
2543,199120,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.619639794,18658.0,50900,49400,49800,70200,65500,70100
2544,199139,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.52230815,23622.0,36900,37900,40700,48800,50100,51700
2545,199148,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.685265372,15988.0,31300,33500,34300,39000,40500,43000
2546,199157,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.672155249,5939.0,27500,29300,30800,32100,37200,40700
2547,199184,0.0,0.0,0.0,0.0,5,0.520775623,867.0,25200,28500,29200,35300,49700,50700
2548,199193,Degree in Engineering,Degree in Math,Degree in Computer Science,Degree in Science and Tech,5,0.499918287,22801.0,43700,45100,45600,59500,57600,61000
2549,199209,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.605680317,2086.0,28100,36500,44200,34300,44900,46700
2550,199218,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.63087375,14183.0,35400,36200,38100,42700,45200,50000
2552,199272,0.0,0.0,0.0,0.0,5,0.603993344,927.0,26600,29900,37800,33100,39100,37400
2553,199281,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.606557377,5308.0,26100,29200,33300,32800,38000,39400
2554,199306,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.537373737,813.0,31300,35600,38900,35300,46800,49400
2556,199333,0.0,0.0,0.0,0.0,5,0.588098755,6528.0,25400,30100,34700,27800,34900,39200
2557,199412,0.0,Degree in Math,0.0,0.0,5,0.733618234,1602.0,38900,44600,42700,42900,47800,55300
2565,199582,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.435483871,974.0,22300,23800,28800,27800,32600,30500
2569,199643,0.0,0.0,Degree in Computer Science,0.0,5,0.564879565,1545.0,23100,27800,26100,26400,34800,34400
2572,199698,0.0,0.0,0.0,0.0,5,0.34619883,612.0,28600,29400,36600,34900,39000,46200
2581,199847,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.507772021,5101.0,77500,64700,59700,69500,77200,82600
2582,199856,0.0,0.0,0.0,0.0,5,0.580342061,20351.0,28500,33300,34500,33000,37500,39800
2583,199865,0.0,0.0,0.0,0.0,5,0.643312102,582.0,19600,20900,22700,27100,30400,30200
2589,199962,0.0,Degree in Math,0.0,0.0,5,0.645502646,2586.0,31000,36200,38600,62600,53000,54900
2592,199999,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.702243126,4570.0,28000,33300,36000,34200,38400,41300
2593,200004,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.573167821,9234.0,31500,34100,34200,40900,41300,41600
2594,200013,0.0,0.0,Degree in Computer Science,0.0,4,0.814446146,525.0,24200,33300,41200,30000,38100,36900
2595,200022,0.0,0.0,0.0,0.0,4,0.449157467,2892.0,38200,52300,53600,44600,54600,61800
2596,200059,0.0,B.S. Math,Degree in Computer Science,0.0,4,0.585034014,1153.0,36800,45200,45200,41400,49800,58600
2600,200156,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.495475113,896.0,36900,39600,40700,45400,52400,49300
2602,200192,0.0,0.0,0.0,0.0,4,0.547457627,684.0,29100,37900,37200,36200,40400,47300
2604,200217,Degree in Engineering,B.S. Math,Degree in Computer Science,0.0,4,0.650952859,2064.0,43100,47100,48500,44400,55700,55400
2605,200226,0.0,B.S. Math,Degree in Computer Science,0.0,4,0.575925926,825.0,36300,36900,34000,39300,44700,44400
2606,200253,0.0,Degree in Math,Degree in Computer Science,0.0,4,0.620545073,2466.0,34700,38200,41800,42500,46600,52300
2608,200280,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.477076238,10351.0,45300,45200,45600,62200,55400,57500
2609,200305,0.0,0.0,0.0,0.0,4,0.369314736,2109.0,34500,41700,46000,43300,48900,49900
2610,200314,0.0,0.0,0.0,0.0,4,0.496674058,454.0,28500,41100,48300,41800,42200,45700
2611,200332,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.478885316,11687.0,40500,44400,47100,51000,54800,57800
2612,200341,0.0,0.0,0.0,0.0,4,0.639618138,747.0,31900,35800,43600,41100,50300,49100
2618,200572,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,4,0.535087719,1010.0,28300,36900,43200,41000,40400,43600
2621,200633,0.0,0.0,0.0,0.0,3,0.734995889,12.0,19700,26200,30500,24300,29200,34000
2623,200785,0.0,0.0,Degree in Computer Science,0.0,3,0.813546519,493.0,24500,34900,40100,35000,42500,52600
2624,200800,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.501433056,15047.0,28700,34600,37900,34900,42300,49700
2626,200846,0.0,0.0,0.0,0.0,3,0.501433056,913.0,28700,34600,37900,34900,42300,49700
2628,201016,0.0,0.0,0.0,0.0,3,0.909224012,117.0,18100,26400,26000,21500,27200,29900
2632,201104,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.440354913,3660.0,33300,33900,38900,38300,43300,45600
2637,201195,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.539007092,3131.0,38200,39700,39100,44300,48900,51200
2638,201283,0.0,0.0,0.0,0.0,3,0.642642643,780.0,25900,33200,38100,30800,38000,47500
2639,201371,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.467532468,703.0,31200,37000,36000,36500,43100,42800
2641,201432,0.0,0.0,0.0,0.0,3,0.601310686,1236.0,29400,33800,35600,39500,44600,48000
2642,201441,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.601310686,13790.0,29400,33800,35600,39500,44600,48000
2643,201469,0.0,0.0,0.0,0.0,3,0.817159033,349.0,20500,30800,31700,23900,32900,40900
2645,201496,0.0,0.0,0.0,0.0,3,0.385,211.0,34500,41000,39300,32900,39400,44400
2647,201548,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.625702247,2573.0,33900,36900,37300,44300,47800,50800
2648,201645,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.472095151,5020.0,80200,62300,63000,93100,96000,80700
2649,201654,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.53368329,3132.0,38100,36500,39100,48000,45100,47400
2650,201672,0.0,0.0,0.0,0.0,3,0.717804002,2187.0,24200,34900,34300,30500,37600,42600
2652,201690,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.54954955,1772.0,22400,23700,24000,26100,30500,33500
2656,201858,0.0,0.0,0.0,0.0,3,0.32038835,547.0,30900,32600,30000,36000,41400,31700
2658,201885,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.559846792,25523.0,35000,39000,43500,46900,47600,53700
2659,201928,0.0,0.0,0.0,0.0,3,0.586096939,6934.0,24100,34400,35600,30400,38500,44000
2660,201946,0.0,0.0,0.0,0.0,3,0.559846792,2238.0,35000,39000,43500,46900,47600,53700
2661,201955,0.0,0.0,0.0,0.0,3,0.559846792,4495.0,35000,39000,43500,46900,47600,53700
2663,201973,0.0,0.0,0.0,0.0,3,0.668567998,4119.0,22800,32700,34100,27800,36100,43600
2668,202134,Degree in Engineering,Degree in Math,Degree in Computer Science,Degree in Science and Tech,3,0.589336719,11647.0,33600,39700,40400,43300,47800,50700
2670,202161,0.0,0.0,0.0,0.0,3,0.696223317,368.0,22900,28300,27400,23900,28700,28100
2671,202170,0.0,0.0,0.0,0.0,3,0.7,1024.0,29400,30100,31000,37600,40500,40400
2672,202222,0.0,0.0,0.0,0.0,3,0.548073586,19559.0,24800,33600,35000,30900,39200,41900
2673,202356,0.0,0.0,0.0,0.0,3,0.598434848,18942.0,22700,30500,34700,27300,37300,43600
2676,202480,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.519816437,8422.0,45600,46400,49200,56100,58800,62800
2677,202514,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.428571429,581.0,27500,31900,36800,34500,46400,51000
2679,202648,0.0,0.0,0.0,0.0,3,0.624031008,1730.0,24500,32600,33700,27000,35200,38500
2681,202684,0.0,0.0,0.0,0.0,3,0.817159033,263.0,20500,30800,31700,23900,32900,40900
2682,202763,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.680155642,2637.0,39800,44400,45900,45100,49500,50400
2683,202806,0.0,0.0,Degree in Computer Science,0.0,3,0.610630408,3433.0,32800,47100,57800,44000,56600,66000
2687,202949,0.0,0.0,0.0,0.0,3,0.2,191.0,34100,39900,43800,38500,42300,50400
2691,203085,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.425696594,1049.0,29900,32000,36100,35100,44700,50100
2692,203128,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.486166008,967.0,32200,36800,38200,45100,47400,47400
2694,203155,0.0,0.0,0.0,0.0,3,0.41,2511.0,21800,29600,31800,28200,35000,39800
2698,203368,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.466329966,2972.0,36300,38300,42900,52700,57900,64000
2701,203447,0.0,0.0,0.0,0.0,3,0.63649635,1789.0,28900,33800,37000,36400,43200,46400
2702,203456,0.0,0.0,0.0,0.0,3,0.63649635,1057.0,28900,33800,37000,36400,43200,46400
2703,203465,0.0,0.0,0.0,0.0,3,0.63649635,4235.0,28900,33800,37000,36400,43200,46400
2704,203474,0.0,0.0,0.0,0.0,3,0.63649635,2055.0,28900,33800,37000,36400,43200,46400
2705,203483,0.0,0.0,0.0,0.0,3,0.63649635,1762.0,28900,33800,37000,36400,43200,46400
2706,203492,0.0,0.0,0.0,0.0,3,0.63649635,1403.0,28900,33800,37000,36400,43200,46400
2707,203517,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.63649635,22403.0,28900,33800,37000,36400,43200,46400
2708,203526,0.0,0.0,0.0,0.0,3,0.63649635,1955.0,28900,33800,37000,36400,43200,46400
2710,203544,0.0,0.0,0.0,0.0,3,0.891373802,615.0,44900,51500,47200,54100,69800,56400
2711,203580,0.0,Degree in Math,0.0,0.0,3,0.442222222,750.0,29600,30900,35400,37500,39600,43200
2712,203599,0.0,0.0,0.0,0.0,3,0.620435511,4381.0,26100,33600,35800,32400,41000,45000
2714,203678,0.0,0.0,0.0,0.0,3,0.6935609,1991.0,26200,33800,38100,29700,37900,41100
2717,203748,0.0,0.0,0.0,0.0,3,0.606786965,7976.0,25000,32000,34100,28900,38400,42500
2718,203757,0.0,0.0,0.0,0.0,3,0.612781955,1036.0,29100,41000,45200,33200,44600,50600
2719,203775,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.568521031,1200.0,32500,37700,45200,38500,50300,50300
2720,203845,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.381609195,964.0,36200,40400,51100,48900,57400,60800
2721,203881,0.0,0.0,0.0,0.0,3,0.725513906,1340.0,24100,32700,38300,27600,38100,40000
2723,203960,0.0,0.0,0.0,0.0,3,0.862876254,1402.0,42200,45100,50400,46200,52700,50100
2725,204006,0.0,0.0,Degree in Computer Science,0.0,3,0.541991342,2545.0,30900,40000,45800,41500,51400,61800
2726,204015,0.0,0.0,Degree in Computer Science,0.0,3,0.541991342,1519.0,30900,40000,45800,41500,51400,61800
2727,204024,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.541991342,16816.0,30900,40000,45800,41500,51400,61800
2728,204060,0.0,0.0,0.0,0.0,3,0.734995889,11.0,19700,26200,30500,24300,29200,34000
2731,204176,0.0,0.0,0.0,0.0,3,0.893271462,878.0,51100,54600,57900,55700,59700,58400
2732,204185,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.453230473,2049.0,31000,35000,39400,44800,46300,51100
2733,204194,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.64453524,1623.0,31000,41900,41100,41900,46400,55900
2734,204200,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.567081604,1177.0,30800,36100,38600,39500,49600,44600
2735,204255,0.0,0.0,0.0,0.0,3,0.575285566,1110.0,21500,31300,33500,28000,37700,42800
2736,204264,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.527810651,1525.0,31100,34000,36300,33300,45300,46600
2738,204422,0.0,0.0,0.0,0.0,3,0.618838028,1798.0,23100,28200,30100,27300,34100,38400
2740,204440,0.0,0.0,0.0,0.0,3,0.59937565,1250.0,24800,32400,33100,29600,35600,39700
2742,204468,0.0,Degree in Math,0.0,0.0,3,0.514736842,1500.0,32900,38200,39500,39100,46700,44700
2744,204486,0.0,0.0,0.0,0.0,3,0.200288184,3625.0,29800,36300,39500,36100,42800,46500
2745,204501,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.5568,2827.0,31200,30500,30700,46200,48100,44200
2746,204608,0.0,0.0,0.0,0.0,3,0.051910598,883.0,31400,34700,38700,33600,40700,44700
2747,204617,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.538573508,1077.0,31100,37300,42800,36600,47400,55300
2748,204626,0.0,0.0,0.0,0.0,3,0.823943662,276.0,17100,24500,25600,21600,28300,31700
2749,204635,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.415625,2111.0,51200,55000,63000,62100,65700,77600
2750,204662,0.0,0.0,0.0,0.0,3,0.520343909,672.0,37100,39900,44500,49900,50300,57700
2751,204671,0.0,0.0,0.0,0.0,3,0.520343909,927.0,37100,39900,44500,49900,50300,57700
2752,204680,0.0,0.0,0.0,0.0,3,0.520343909,962.0,37100,39900,44500,49900,50300,57700
2753,204699,0.0,0.0,0.0,0.0,3,0.520343909,1097.0,37100,39900,44500,49900,50300,57700
2754,204705,0.0,0.0,0.0,0.0,3,0.520343909,2518.0,37100,39900,44500,49900,50300,57700
2759,204796,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.520343909,44853.0,37100,39900,44500,49900,50300,57700
2760,204802,0.0,0.0,0.0,0.0,3,0.634900623,472.0,28000,35900,40600,35700,44400,52100
2761,204820,0.0,0.0,0.0,0.0,3,0.634900623,1530.0,28000,35900,40600,35700,44400,52100
2762,204839,0.0,0.0,0.0,0.0,3,0.634900623,1199.0,28000,35900,40600,35700,44400,52100
2763,204848,0.0,0.0,0.0,0.0,3,0.634900623,1422.0,28000,35900,40600,35700,44400,52100
2764,204857,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.634900623,22936.0,28000,35900,40600,35700,44400,52100
2765,204866,0.0,0.0,0.0,0.0,3,0.634900623,1064.0,28000,35900,40600,35700,44400,52100
2768,204909,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.490674319,1549.0,31800,32700,35000,50700,49200,52900
2769,204936,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.59375,2367.0,30700,37900,39300,42800,43300,50400
2770,204945,0.0,0.0,0.0,0.0,3,0.575304668,6348.0,25000,33100,34500,29400,39100,42400
2779,205179,0.0,0.0,0.0,0.0,3,0.797942002,690.0,24400,33400,37200,32700,37300,42500
2780,205203,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.657916325,935.0,24500,33600,36700,30600,38000,45400
2782,205443,0.0,Degree in Math,0.0,0.0,3,0.530930346,3099.0,24400,30800,32300,33100,37600,45300
2783,205470,0.0,0.0,0.0,0.0,3,0.601452727,14902.0,23200,32100,32700,28500,36500,39200
2785,205610,0.0,0.0,0.0,0.0,3,0.677497162,184.0,25200,30200,32000,29300,33100,35300
2786,205841,0.0,0.0,0.0,0.0,3,0.57334451,7778.0,23100,34100,35900,31700,40700,43900
2787,205887,0.0,0.0,0.0,0.0,3,0.850536193,624.0,21200,26500,24500,24500,34800,38400
2788,205957,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.589901478,2071.0,31400,33900,35900,33000,43500,46000
2789,205966,0.0,0.0,0.0,0.0,3,0.661163522,1428.0,21000,29500,32500,26900,33800,38700
2790,206011,0.0,0.0,0.0,0.0,3,0.608923885,1341.0,24100,35300,32000,27500,36700,36900
2792,206048,0.0,0.0,Degree in Computer Science,0.0,3,0.510056315,2095.0,27300,40100,43900,39800,47500,53600
2793,206084,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.525252525,15109.0,33400,37200,41900,49500,52000,55700
2798,206279,0.0,0.0,0.0,0.0,3,0.642857143,813.0,26600,44500,100000,34900,49200,82700
2801,206330,0.0,Degree in Math,0.0,0.0,3,0.406015038,548.0,28200,36000,37800,35700,40100,43900
2802,206349,0.0,Degree in Math,0.0,0.0,3,0.936,607.0,37900,45100,47100,45500,51000,55100
2804,206437,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.612244898,1929.0,38200,40100,42500,41800,47900,51400
2805,206446,0.0,0.0,0.0,0.0,3,0.639429313,946.0,25000,29300,30600,28100,34200,38600
2807,206507,0.0,Degree in Math,0.0,0.0,3,0.563920455,1167.0,30300,33700,34200,36100,42300,44600
2809,206525,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.522340426,1780.0,27600,34600,41500,43500,45200,52100
2810,206589,0.0,Degree in Math,Degree in Computer Science,0.0,3,0.506557377,1970.0,28800,33600,35800,50100,50000,54500
2811,206604,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.559505671,11251.0,31100,34800,37300,47000,44900,46400
2812,206613,Degree in Engineering,0.0,0.0,0.0,3,0.559505671,828.0,31100,34800,37300,47000,44900,46400
2813,206622,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.568421053,4571.0,36800,41900,48100,49400,58300,60100
2814,206695,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,3,0.550444444,10039.0,26200,35500,37200,34500,42200,45200
2816,206817,0.0,0.0,0.0,0.0,6,0.334519573,934.0,26100,32400,33900,32500,38600,44700
2817,206835,0.0,Degree in Math,0.0,0.0,6,0.573257468,1006.0,36400,49800,60200,40000,49500,65400
2818,206862,0.0,Degree in Math,Degree in Computer Science,0.0,6,0.549634274,1520.0,38900,44300,51700,42300,54400,60300
2821,206914,0.0,Degree in Math,Degree in Computer Science,0.0,6,0.641994751,3793.0,28000,32800,34000,35200,40900,45400
2824,206941,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,6,0.614212298,14267.0,35300,37800,38400,42900,45000,47900
2826,206996,0.0,0.0,0.0,0.0,6,0.653209795,1900.0,25700,32100,34100,27900,37200,44800
2827,207041,0.0,Degree in Math,Degree in Computer Science,0.0,6,0.587574356,2860.0,30100,35500,37200,38900,44400,47000
2828,207050,0.0,0.0,0.0,0.0,6,0.668520578,1049.0,25400,32500,39500,30700,37200,44700
2829,207069,0.0,0.0,0.0,0.0,6,0.611260054,1085.0,26300,32100,33000,33200,39600,46800
2833,207209,0.0,Degree in Math,Degree in Computer Science,0.0,6,0.606796117,2012.0,23500,28300,28200,29200,32900,38800
2834,207236,0.0,0.0,0.0,0.0,6,0.668469861,1797.0,26100,35500,41700,32200,38600,48100
2835,207254,0.0,0.0,0.0,0.0,6,0.124352332,1127.0,36000,39600,41600,45000,55700,56900
2836,207263,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,6,0.618385243,6401.0,31100,34600,37500,36900,43200,47900
2838,207281,0.0,0.0,0.0,0.0,6,0.594405594,2752.0,29000,33200,36700,30900,39000,45300
2839,207290,0.0,0.0,0.0,0.0,6,0.526418787,1812.0,25800,32500,32000,30400,36800,42000
2840,207306,0.0,Degree in Math,Degree in Computer Science,0.0,6,0.606324973,1735.0,31800,36300,36400,37700,43600,46400
2842,207324,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,6,0.522160665,1883.0,28700,34200,40300,38300,40800,46800
2843,207342,0.0,0.0,0.0,0.0,6,0.557354514,786.0,50300,46900,48700,62500,59400,63500
2844,207351,0.0,Degree in Math,Degree in Computer Science,0.0,6,0.473958333,1020.0,32000,33600,36900,36500,41700,49500
2845,207388,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,6,0.525759954,20743.0,41700,41200,44500,50700,55400,58800
2846,207397,0.0,0.0,0.0,0.0,6,0.632298966,5334.0,27700,36400,41100,35100,44500,44500
2847,207403,0.0,Degree in Math,Degree in Computer Science,0.0,6,0.571428571,1852.0,28000,32500,37700,40400,45800,47300
2848,207449,0.0,0.0,0.0,0.0,6,0.629252319,11203.0,27300,34000,38900,34500,42300,44600
2849,207458,0.0,Degree in Math,Degree in Computer Science,0.0,6,0.693150685,1692.0,42000,40100,40200,51400,53600,48100
2850,207500,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,6,0.557354514,21536.0,50300,46900,48700,62500,59400,63500
2851,207564,0.0,0.0,Degree in Computer Science,0.0,6,0.37627935,2210.0,32900,42100,47100,38000,45000,52100
2852,207582,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,6,0.605820106,3068.0,29500,33300,36600,39600,42300,46700
2853,207625,0.0,0.0,0.0,0.0,6,0.51059207,280.0,27000,40500,39600,25100,36300,35500
2854,207661,0.0,0.0,Degree in Computer Science,0.0,6,0.627231005,3216.0,29200,34300,38300,34000,43000,47000
2855,207670,0.0,0.0,0.0,0.0,6,0.668006893,5982.0,27400,34200,38000,32500,40500,43800
2857,207722,0.0,Degree in Math,0.0,0.0,6,0.704697987,852.0,30400,27500,33900,34000,35800,41400
2860,207847,0.0,Degree in Math,Degree in Computer Science,0.0,6,0.57716263,2937.0,30400,36700,39100,37700,42200,48800
2862,207865,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,6,0.601328904,4358.0,35100,39400,45000,45400,47900,53700
2863,207935,0.0,0.0,0.0,0.0,6,0.629204036,14413.0,27500,35100,40700,33000,40500,43600
2864,207962,0.0,0.0,0.0,0.0,6,0.064823128,926.0,29800,42600,45000,39800,46800,52800
2865,207971,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,6,0.494208494,3316.0,45600,44700,56900,60500,59700,61100
2868,208035,0.0,0.0,0.0,0.0,6,0.630379747,1087.0,27800,33700,42400,31700,39700,41400
2873,208239,0.0,0.0,Degree in Computer Science,0.0,8,0.515765766,488.0,29800,31900,31600,32900,39600,45000
2875,208275,0.0,0.0,0.0,0.0,8,0.628830874,1358.0,25300,33600,36200,32000,37900,40800
2876,208318,0.0,0.0,0.0,0.0,8,0.566030386,4813.0,25200,32500,32500,31400,41100,44600
2877,208390,0.0,0.0,0.0,0.0,8,0.568465566,8474.0,25000,32800,35300,31800,39200,45100
2878,208406,0.0,0.0,0.0,0.0,8,0.553246753,5591.0,27600,33100,34000,32800,42800,44300
2881,208479,0.0,0.0,0.0,0.0,8,0.884210526,448.0,25400,33800,30700,29800,31700,32700
2882,208488,0.0,0.0,0.0,0.0,8,0.705722071,1353.0,37400,45800,48200,43900,47600,53400
2885,208646,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.597393193,2526.0,32400,38200,39300,39300,45600,49300
2888,208822,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.561762392,2678.0,41100,40800,43600,46100,49600,53800
2890,209038,0.0,0.0,0.0,0.0,8,0.541068778,6833.0,23400,32000,33700,30300,39100,44100
2891,209056,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.619932432,2021.0,44400,34400,31300,63400,51300,52300
2892,209065,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.700773861,1503.0,56600,50200,51000,58100,61300,60600
2893,209074,0.0,0.0,0.0,0.0,8,0.544740288,5723.0,26400,33100,34000,33200,41300,43200
2895,209108,0.0,0.0,0.0,0.0,8,0.74301676,324.0,32600,45900,79000,34400,41800,53200
2899,209250,0.0,0.0,0.0,0.0,8,0.574972129,7168.0,28400,33400,36500,34700,41600,44300
2900,209287,0.0,0.0,0.0,0.0,8,0.519148936,383.0,32300,34000,33600,38100,34000,42000
2902,209409,0.0,Degree in Math,0.0,0.0,8,0.63559322,571.0,32500,41100,36200,41000,42700,54300
2903,209490,0.0,0.0,0.0,0.0,8,0.766716196,776.0,100600,90700,74100,137900,83600,79900
2904,209506,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.494751575,3543.0,52500,52700,53800,53400,60800,60000
2906,209542,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.508355732,24921.0,41300,43100,43500,54900,56200,58400
2907,209551,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.581754386,19163.0,39200,40400,39800,48000,51000,54000
2909,209612,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.605876393,1809.0,37400,33700,36700,49100,45700,56500
2915,209746,0.0,0.0,0.0,0.0,8,0.55641964,25658.0,28700,37400,37800,37100,45500,50000
2916,209807,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.582363316,18585.0,35200,41600,40800,47300,54100,54000
2917,209825,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,8,0.627604167,3851.0,57800,51900,55300,64300,64000,61200
2919,209940,0.0,0.0,0.0,0.0,8,0.56080163,4230.0,23500,32800,33600,29300,39500,43500
2921,210076,0.0,0.0,Degree in Computer Science,0.0,8,0.76379691,1036.0,24600,32400,31700,27500,34300,35200
2922,210146,0.0,Degree in Math,Degree in Computer Science,0.0,8,0.619348055,4399.0,30600,33100,33300,42200,42900,45400
2923,210155,0.0,0.0,0.0,0.0,8,0.579925651,1655.0,23200,29800,30700,31100,40400,44300
2924,210234,0.0,0.0,0.0,0.0,8,0.552188552,1543.0,24300,29400,32500,28400,35000,38200
2926,210304,0.0,0.0,0.0,0.0,8,0.684033613,398.0,34000,43000,51300,38700,43100,52100
